DATE,0,1,2,3,4,Average,Yearly_Deviation
2020-04-08,0.0,0.05,0.0,0.0,0.0,0.025,-0.125
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.085
2020-04-11,0.0,0.0,0.09,0.0,0.0,0.045,-0.8949999999999999
2020-04-12,0.0,0.0,0.09,0.0,0.0,0.045,-0.34500000000000003
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.82
2020-04-15,0.0,0.35,0.0,0.0,0.0,0.175,-1.065
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.37
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.67
2020-04-19,0.0,0.1,0.0,0.0,0.0,0.05,-0.9149999999999999
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2020-04-21,0.0,0.0,0.06,0.0,0.0,0.03,-1.17
2020-04-22,0.0,0.0,1.08,0.0,0.0,0.54,-0.6599999999999999
2020-04-23,0.0,0.0,0.01,0.0,0.0,0.005,-0.4
2020-04-24,0.0,0.0,0.12,0.0,0.0,0.06,-0.09
2020-04-25,0.0,0.0,0.01,0.0,0.0,0.005,-0.965
2020-04-26,0.0,0.0,0.0,0.0,0.0,0.0,-1.05
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.45
2020-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.76
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.37
2020-05-05,0.0,0.0,0.0,0.0,0.52,0.1733333333333333,0.08333333333333331
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.35
2020-05-07,0.0,0.3,0.0,0.0,0.0,0.15,-0.29000000000000004
2020-05-08,0.0,0.13,0.0,0.0,0.0,0.065,-0.375
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,0.0,0.0,0.92,0.0,0.0,0.46,0.46
2020-05-11,0.0,0.0,0.87,0.0,0.0,0.435,0.28500000000000003
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,0.0,0.0,0.48,0.0,0.0,0.16,0.16
2020-05-14,0.0,0.0,0.09,0.0,0.0,0.045,-0.255
2020-05-15,0.0,0.0,0.02,0.0,0.0,0.01,-0.060000000000000005
2020-05-16,0.0,0.0,1.3,0.0,0.0,0.65,0.09500000000000008
2020-05-17,0.0,0.0,0.57,0.0,0.0,0.285,-0.285
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2020-05-19,0.0,0.0,0.16,0.0,0.0,0.08,0.045
2020-05-20,0.0,0.19,3.47,0.0,0.0,1.83,1.8250000000000002
2020-05-21,0.0,0.7,8.62,0.0,0.0,4.659999999999999,3.9499999999999993
2020-05-22,0.0,0.04,0.03,0.0,0.0,0.035,-2.965
2020-05-23,0.0,0.02,0.06,0.0,0.0,0.04,0.03
2020-05-24,0.0,0.0,0.02,0.0,0.0,0.01,-0.595
2020-05-25,0.0,0.04,0.21,0.0,0.0,0.125,-1.0
2020-05-26,0.0,0.01,0.09,0.0,0.0,0.0499999999999999,-0.6450000000000001
2020-05-27,0.0,0.0,0.38,0.0,0.0,0.19,-1.225
2020-05-28,0.0,0.0,0.06,0.0,0.0,0.03,-0.31000000000000005
2020-05-29,0.0,0.0,0.48,0.0,0.0,0.24,-0.10999999999999999
2020-05-30,0.0,0.08,0.2,0.0,0.0,0.14,-0.09999999999999998
2020-05-31,0.0,0.44,3.56,0.0,0.0,2.0,1.19
2020-06-01,0.0,0.08,0.42,0.0,0.0,0.25,0.10500000000000001
2020-06-02,0.0,0.0,0.04,0.0,0.0,0.02,0.01
2020-06-03,0.0,0.0,0.77,0.0,0.0,0.385,-0.43499999999999994
2020-06-04,0.0,0.0,0.3,0.0,0.0,0.15,-0.09
2020-06-05,0.0,0.0,1.78,0.0,0.0,0.89,-0.3949999999999999
2020-06-06,0.0,0.0,1.22,0.0,0.0,0.61,0.61
2020-06-07,0.0,0.0,0.85,0.0,0.0,0.425,0.385
2020-06-08,0.0,0.0,1.28,0.0,0.0,0.64,0.64
2020-06-09,0.0,0.0,0.75,0.0,0.0,0.375,-2.285
2020-06-10,0.0,0.27,0.32,0.0,0.0,0.295,-0.875
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.26
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.13
2020-06-13,0.0,0.0,0.11,0.0,0.0,0.055,0.055
2020-06-14,0.0,0.0,0.28,0.0,0.0,0.14,0.14
2020-06-15,0.0,0.0,1.21,0.0,0.0,0.605,0.43499999999999994
2020-06-16,0.0,0.0,0.71,0.0,0.0,0.355,0.32499999999999996
2020-06-17,0.0,0.0,0.45,0.0,0.0,0.225,-0.014999999999999986
2020-06-18,0.0,0.29,0.01,0.0,0.0,0.15,-0.05000000000000002
2020-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-06-22,0.0,0.0,0.0,0.0,1.44,0.72,0.6499999999999999
2020-06-23,0.0,0.0,0.0,0.0,0.0,0.0,-6.8
2020-06-24,0.0,0.18,0.0,0.0,0.0,0.09,0.009999999999999995
2020-06-25,0.0,0.51,0.69,0.0,0.0,0.6,0.26999999999999996
2020-06-26,0.0,0.0,0.11,0.0,0.0,0.055,0.03
2020-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.03
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.025
2020-07-02,0.0,0.04,0.17,0.0,0.0,0.105,-0.22000000000000003
2020-07-03,0.0,0.0,0.73,0.0,0.0,0.365,-0.26
2020-07-04,0.0,0.0,0.71,0.0,0.0,0.355,0.07
2020-07-05,0.0,0.0,0.33,0.0,0.0,0.165,-0.014999999999999986
2020-07-06,0.0,2.03,0.07,0.0,0.0,1.0499999999999998,0.9999999999999998
2020-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
2020-07-09,0.0,0.28,0.0,0.0,0.0,0.14,-0.9600000000000001
2020-07-10,0.0,0.03,0.0,0.0,0.0,0.015,-1.2850000000000001
2020-07-11,0.0,0.85,0.0,0.0,0.0,0.425,0.295
2020-07-12,0.0,0.01,0.0,0.0,0.0,0.005,-0.045000000000000005
2020-07-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.165
2020-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.055
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
2020-07-17,0.0,0.86,0.0,0.0,0.0,0.2866666666666667,0.15666666666666668
2020-07-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.52
2020-07-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.055
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2020-07-21,0.0,0.0,0.0,0.0,0.0,0.0,-1.295
2020-07-22,0.0,0.0,0.03,0.0,0.0,0.015,-0.14
2020-07-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.65
2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,0.0,0.05,0.0,0.0,0.0,0.025,0.025
2020-07-27,0.0,0.14,0.0,0.0,0.0,0.07,-1.0799999999999998
2020-07-28,0.0,0.0,0.17,0.0,0.0,0.085,-0.345
2020-07-29,0.0,0.0,0.26,0.0,0.0,0.13,-0.135
2020-07-30,0.0,0.0,0.0,0.0,0.05,0.0166666666666666,-0.2833333333333334
2020-07-31,0.0,0.01,0.18,0.0,0.0,0.0633333333333333,-0.6516666666666668
2020-08-01,0.0,0.14,0.6,0.0,0.0,0.37,0.195
2020-08-02,0.0,0.0,0.14,0.0,0.0,0.07,-0.009999999999999995
2020-08-03,0.0,0.0,0.19,0.0,0.0,0.0633333333333333,-0.3666666666666667
2020-08-04,0.0,0.0,0.22,0.0,0.0,0.11,-0.0050000000000000044
2020-08-05,0.0,0.54,1.4,0.0,0.0,0.97,0.08499999999999996
2020-08-06,0.0,0.0,0.22,0.0,0.0,0.11,0.05
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.57
2020-08-09,0.0,0.84,0.0,0.0,0.0,0.42,0.36
2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
2020-08-11,0.0,0.0,1.65,0.0,0.0,0.825,0.31999999999999995
2020-08-12,0.0,2.28,0.56,0.0,0.0,1.42,0.5099999999999999
2020-08-13,0.0,0.01,0.07,0.0,0.0,0.04,-3.43
2020-08-14,0.0,0.0,0.06,0.0,0.0,0.03,-0.23
2020-08-15,0.0,0.13,0.05,0.0,0.0,0.09,-1.1099999999999999
2020-08-16,0.0,0.02,0.01,0.0,0.0,0.015,-0.655
2020-08-17,0.0,0.0,0.02,0.0,0.0,0.01,-0.6799999999999999
2020-08-18,0.0,0.18,0.53,0.0,0.0,0.355,0.315
2020-08-19,0.0,0.0,0.6,0.0,0.0,0.3,0.13999999999999999
2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
2020-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,0.0,2.24,0.0,0.0,0.0,1.12,1.11
2020-08-24,0.0,0.22,0.4,0.0,0.0,0.31,-3.86
2020-08-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
2020-08-26,0.0,0.0,2.15,0.0,0.0,0.7166666666666667,0.5966666666666667
2020-08-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
2020-08-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.93
2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.48
2020-08-30,0.0,0.0,0.02,0.0,0.0,0.01,-0.15
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.63
2020-09-01,0.0,0.09,0.0,0.0,0.0,0.045,-0.7849999999999999
2020-09-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.39
2020-09-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2020-09-04,0.0,0.0,0.82,0.0,0.0,0.41,0.35
2020-09-05,0.0,0.0,0.02,0.0,0.0,0.01,0.01
2020-09-06,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-09-07,0.0,0.0,3.14,0.0,0.0,1.57,0.67
2020-09-08,0.0,0.0,0.17,0.0,0.0,0.085,-1.675
2020-09-09,0.0,0.0,0.36,0.0,0.0,0.18,-0.22000000000000003
2020-09-10,0.0,0.0,0.01,0.0,0.91,0.3066666666666667,0.2866666666666667
2020-09-11,0.0,0.09,1.78,0.0,0.0,0.6233333333333334,-0.34666666666666657
2020-09-12,0.0,0.0,1.44,0.0,0.0,0.72,0.6699999999999999
2020-09-13,0.0,0.0,0.96,0.0,0.0,0.48,0.41
2020-09-14,0.0,0.0,0.68,0.0,0.37,0.35,0.33999999999999997
2020-09-15,0.0,0.18,1.24,0.0,0.0,0.4733333333333333,-0.14666666666666672
2020-09-16,0.0,0.0,0.1,0.0,0.0,0.05,-0.47000000000000003
2020-09-17,0.0,0.0,0.01,0.0,0.0,0.005,-0.145
2020-09-18,0.0,0.0,1.09,0.0,0.0,0.545,0.545
2020-09-19,0.0,0.0,0.61,0.0,0.0,0.305,0.305
2020-09-20,0.0,0.0,0.02,0.0,0.0,0.01,0.01
2020-09-21,0.0,0.0,0.02,0.0,0.0,0.01,0.01
2020-09-22,0.0,0.0,0.24,0.0,0.0,0.12,0.12
2020-09-23,0.0,1.07,0.19,0.0,0.0,0.63,0.63
2020-09-24,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-26,0.0,0.0,0.68,0.0,0.0,0.34,0.34
2020-09-27,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-09-28,0.0,1.22,0.0,0.0,0.0,0.4066666666666667,0.4066666666666667
2020-09-29,0.0,0.14,0.02,0.0,0.0,0.08,0.08
2020-09-30,0.0,0.07,0.02,0.0,0.0,0.045,0.045
2020-10-01,0.0,0.0,0.06,0.0,0.0,0.03,0.03
2020-10-02,0.0,0.0,0.01,0.0,0.0,0.005,-0.425
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.19
2020-10-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
2020-10-06,0.0,0.0,0.0,0.0,0.16,0.08,-0.09000000000000001
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.67
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.59
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2020-10-13,0.0,0.0,0.08,0.0,0.0,0.04,0.0
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.03
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.095
2020-10-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-28,0.0,0.0,0.08,0.0,0.0,0.04,0.04
2020-10-29,0.0,0.0,0.25,0.0,0.0,0.125,0.125
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.005
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.64
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2020-11-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.005
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.17
2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-11-15,0.0,0.0,0.08,0.0,0.0,0.0266666666666666,-0.0633333333333334
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.35
2020-11-17,0.0,0.12,0.0,0.0,0.0,0.06,0.06
2020-11-18,0.0,0.76,0.04,0.0,0.85,0.5499999999999999,0.5499999999999999
2020-11-19,0.0,0.0,0.01,0.0,0.0,0.0033333333333333,0.0033333333333333
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-21,0.0,0.22,0.04,0.0,0.0,0.13,0.13
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.34
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.065
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.01,0.0,0.0,0.005,0.005
2020-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.03,0.0,0.0,0.015,0.015
2020-12-14,0.0,0.0,0.03,0.0,0.0,0.015,-0.010000000000000002
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066666666666666
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.3033333333333333
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0566666666666666
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066666666666666
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233333333333333
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.01,0.0,0.0,0.005,-0.055
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233333333333333
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.1133333333333333
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.2866666666666667
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.3366666666666666
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.1866666666666666
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0166666666666666
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266666666666666
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0633333333333333
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.07,0.0233333333333333,0.0233333333333333
2021-01-21,0.0,0.0,0.0,0.0,0.06,0.02,-0.02
2021-01-22,0.0,0.0,0.0,0.0,0.09,0.03,-0.13
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0433333333333333
2021-01-24,0.0,0.0,0.0,0.0,0.16,0.0533333333333333,-0.023333333333333303
2021-01-25,0.0,0.03,0.0,0.0,0.0,0.01,-0.12333333333333331
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.18
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.005
2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.18
2021-02-05,0.0,0.0,0.0,0.0,0.17,0.0566666666666666,-0.11666666666666671
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.1466666666666666
2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.0166666666666666
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.57,0.0,0.0,0.285,0.285
2021-02-10,0.0,0.0,1.41,0.0,0.0,0.705,0.6983333333333334
2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.31
2021-02-14,0.0,0.01,0.0,0.0,0.0,0.005,-0.9283333333333332
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.13
2021-02-16,0.0,0.0,0.0,0.0,0.03,0.01,-0.06666666666666661
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.03,0.0,0.0,0.015,-0.4616666666666666
2021-02-26,0.0,0.0,0.01,0.0,0.0,0.005,-0.015
2021-02-27,0.0,0.0,0.01,0.0,0.0,0.005,-0.0016666666666666002
2021-02-28,0.0,0.7,0.0,0.0,0.82,0.5066666666666667,0.3833333333333334
2021-03-01,0.0,0.01,0.0,0.0,0.0,0.0033333333333333,-0.06
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.07
2021-03-04,0.0,0.0,0.17,0.0,0.0,0.085,-0.0183333333333333
2021-03-05,0.0,0.0,0.1,0.0,0.21,0.1033333333333333,-0.02333333333333329
2021-03-06,0.0,0.0,0.72,0.0,0.0,0.24,0.24
2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.2133333333333333
2021-03-10,0.0,0.0,0.0,0.0,0.21,0.0699999999999999,0.016666666666666594
2021-03-11,0.0,0.0,0.0,0.0,0.36,0.12,0.07999999999999999
2021-03-12,0.0,0.17,0.0,0.0,0.0,0.0566666666666666,0.0566666666666666
2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333
2021-03-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.1066666666666666
2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066666666666666
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-17,0.0,0.04,0.0,0.0,0.07,0.0366666666666666,0.0366666666666666
2021-03-18,0.0,0.06,0.0,0.0,0.35,0.1366666666666666,0.1366666666666666
2021-03-19,0.0,0.51,0.0,0.0,0.0,0.17,-0.009999999999999981
2021-03-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.3266666666666666
2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233333333333333
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.09,0.0,0.0,0.91,0.3333333333333333,0.27
2021-03-27,0.0,0.0,0.0,0.0,0.01,0.0033333333333333,-0.2
2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,-1.04
2021-03-29,0.0,0.0,0.0,0.0,0.04,0.0133333333333333,0.0083333333333333
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.055
2021-03-31,0.0,0.0,0.0,0.0,0.9,0.3,0.27499999999999997
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.025
2021-04-02,0.0,0.01,0.0,0.0,0.0,0.005,-0.235
2021-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
2021-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.2166666666666666
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.195
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.35
2021-04-07,0.0,0.0,0.02,0.0,0.0,0.01,-0.655
2021-04-08,0.0,0.0,0.37,0.0,0.0,0.185,0.185
2021-04-09,0.0,0.0,0.01,0.0,0.0,0.0033333333333333,-0.021666666666666702
2021-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0,0.02,0.0066666666666666,-0.0383333333333334
2021-04-13,0.0,0.0,0.0,0.0,0.09,0.03,-0.015
2021-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,0.0,0.02,0.19,0.0,0.0,0.0699999999999999,0.0699999999999999
2021-04-16,0.0,0.0,0.8,0.0,0.0,0.4,0.22500000000000003
